Index,Week,Customer,Product,Qty,Money
67,13,Kuhic-Barton,Gel,173,5190
68,13,Kuhic-Barton,Conditioner,49,2940
69,13,"Upton, Cronin and Hermiston",Dry,145,5800
70,13,"Upton, Cronin and Hermiston",Mousse,52,1820
71,13,"Upton, Cronin and Hermiston",Conditioner,65,3900
72,13,Bergstrom-Reynolds,Gel,599,17970
73,13,Bergstrom-Reynolds,Mousse,574,20090
74,13,Bergstrom-Reynolds,Dry,400,16000
75,13,Jerde PLC,Mousse,163,5705
76,13,Jerde PLC,Dry,32,1280
77,13,Jerde PLC,Conditioner,60,3600
78,13,Fahey PLC,Mousse,132,4620
79,13,Fahey PLC,Shampoo,294,14700
80,13,Fahey PLC,Conditioner,185,11100
81,13,Feeney LLC,Shampoo,9,450
82,13,Feeney LLC,Gel,112,3360
83,13,Feeney LLC,Conditioner,9,540
84,13,Goldner and Sons,Shampoo,105,5250
85,13,Goldner and Sons,Mousse,192,6720
86,13,Goldner and Sons,Conditioner,20,1200
87,13,Flatley Group,Dry,66,2640
88,13,Flatley Group,Conditioner,10,600
89,13,Flatley Group,Shampoo,41,2050
90,13,"Schuppe, Homenick and Labadie",Shampoo,95,4750
91,13,"Schuppe, Homenick and Labadie",Mousse,50,1750
92,13,"Schuppe, Homenick and Labadie",Dry,35,1400
93,13,"Schowalter, Halvorson and Bechtelar",Dry,13,520
94,13,"Schowalter, Halvorson and Bechtelar",Conditioner,34,2040
95,13,"Schowalter, Halvorson and Bechtelar",Shampoo,34,1700
96,13,"Bailey, Bergnaum and Sanford",Dry,385,15400
97,13,"Bailey, Bergnaum and Sanford",Gel,160,4800
98,13,"Bailey, Bergnaum and Sanford",Conditioner,187,11220
99,13,"Wintheiser, Witting and Fay",Mousse,50,1750
100,13,"Wintheiser, Witting and Fay",Conditioner,68,4080
101,13,"Wintheiser, Witting and Fay",Dry,37,1480
102,13,Mann Inc,Dry,57,2280
103,13,Mann Inc,Conditioner,7,420
104,13,Mann Inc,Gel,27,810
105,13,Lockman-Marquardt,Mousse,96,3360
106,13,Lockman-Marquardt,Gel,38,1140
107,13,Lockman-Marquardt,Dry,75,3000
108,13,Corwin Ltd,Shampoo,55,2750
109,13,Corwin Ltd,Gel,610,18300
110,13,Corwin Ltd,Mousse,500,17500
111,13,Bradtke Inc,Conditioner,35,2100
112,13,Bradtke Inc,Shampoo,51,2550
113,13,Bradtke Inc,Dry,19,760
114,13,Marks Ltd,Dry,134,5360
115,13,Marks Ltd,Mousse,164,5740
116,13,Marks Ltd,Conditioner,14,840
117,13,Harvey-Baumbach,Shampoo,68,3400
118,13,Harvey-Baumbach,Mousse,553,19355
119,13,Harvey-Baumbach,Gel,632,18960
120,13,King Group,Mousse,92,3220
121,13,King Group,Conditioner,5,300
122,13,King Group,Dry,62,2480
123,13,Hintz-Mohr,Shampoo,259,12950
124,13,Hintz-Mohr,Mousse,149,5215
125,13,Hintz-Mohr,Conditioner,172,10320
126,13,"Schroeder, Crist and Medhurst",Dry,140,5600
127,13,"Schroeder, Crist and Medhurst",Shampoo,93,4650
128,13,"Schroeder, Crist and Medhurst",Mousse,171,5985
129,13,Shanahan-Aufderhar,Gel,108,3240
130,13,Shanahan-Aufderhar,Mousse,88,3080
131,13,Shanahan-Aufderhar,Dry,19,760
132,13,Beier Inc,Gel,623,18690
133,13,Beier Inc,Shampoo,79,3950
134,13,Beier Inc,Mousse,564,19740
135,13,Schuppe LLC,Mousse,20,700
136,13,Schuppe LLC,Shampoo,43,2150
137,13,Schuppe LLC,Conditioner,24,1440
138,13,Spinka PLC,Conditioner,15,900
139,13,Spinka PLC,Dry,129,5160
140,13,Spinka PLC,Shampoo,15,750
141,13,Predovic LLC,Conditioner,51,3060
142,13,Predovic LLC,Dry,33,1320
143,13,Predovic LLC,Shampoo,80,4000
144,13,Tremblay and Sons,Shampoo,19,950
145,13,Tremblay and Sons,Conditioner,58,3480
146,13,Tremblay and Sons,Mousse,182,6370
147,13,Hoppe Ltd,Shampoo,99,4950
148,13,Hoppe Ltd,Gel,59,1770
149,13,Hoppe Ltd,Mousse,48,1680
150,13,West Inc,Shampoo,15,750
151,13,West Inc,Mousse,87,3045
152,13,West Inc,Conditioner,4,240
153,13,Becker-McGlynn,Gel,661,19830
154,13,Becker-McGlynn,Conditioner,45,2700
155,13,Becker-McGlynn,Dry,381,15240
156,13,Mertz LLC,Mousse,176,6160
157,13,Mertz LLC,Dry,31,1240
158,13,Mertz LLC,Shampoo,25,1250
159,13,Zieme-Kiehn,Shampoo,21,1050
160,13,Zieme-Kiehn,Gel,199,5970
161,13,Zieme-Kiehn,Conditioner,61,3660
162,13,"Luettgen, Mraz and Barrows",Gel,595,17850
163,13,"Luettgen, Mraz and Barrows",Dry,384,15360
164,13,"Luettgen, Mraz and Barrows",Mousse,525,18375
165,13,Treutel Inc,Conditioner,73,4380
166,13,Treutel Inc,Shampoo,95,4750
167,13,Treutel Inc,Gel,189,5670
168,13,Kuvalis-O'Keefe,Mousse,45,1575
169,13,Kuvalis-O'Keefe,Shampoo,114,5700
170,13,Kuvalis-O'Keefe,Dry,35,1400
171,13,Casper Ltd,Gel,222,6660
172,13,Casper Ltd,Conditioner,10,600
173,13,Casper Ltd,Mousse,170,5950
174,13,"Ullrich, Friesen and Heathcote",Dry,76,3040
175,13,"Ullrich, Friesen and Heathcote",Conditioner,6,360
176,13,"Ullrich, Friesen and Heathcote",Gel,33,990
177,13,Feeney-Smith,Mousse,29,1015
178,13,Feeney-Smith,Shampoo,44,2200
179,13,Feeney-Smith,Conditioner,23,1380
180,13,Jacobs-Pacocha,Shampoo,92,4600
181,13,Jacobs-Pacocha,Mousse,170,5950
182,13,Jacobs-Pacocha,Conditioner,14,840
183,13,Ondricka Ltd,Gel,189,5670
184,13,Ondricka Ltd,Conditioner,15,900
185,13,Ondricka Ltd,Mousse,174,6090
186,13,Hermiston Inc,Dry,394,15760
187,13,Hermiston Inc,Gel,152,4560
188,13,Hermiston Inc,Conditioner,182,10920
189,13,"King, Schneider and Kuphal",Dry,84,3360
190,13,"King, Schneider and Kuphal",Shampoo,11,550
191,13,"King, Schneider and Kuphal",Gel,101,3030
192,13,Thiel-Wilderman,Shampoo,67,3350
193,13,Thiel-Wilderman,Mousse,547,19145
194,13,Thiel-Wilderman,Dry,117,4680
195,13,Glover Group,Shampoo,20,1000
196,13,Glover Group,Gel,191,5730
197,13,Glover Group,Mousse,155,5425
198,13,Hand-Schoen,Dry,90,3600
199,13,Hand-Schoen,Gel,617,18510
200,13,Hand-Schoen,Mousse,125,4375
201,13,Orn Ltd,Conditioner,45,2700
202,13,Orn Ltd,Gel,175,5250
203,13,Orn Ltd,Mousse,560,19600
204,13,"Swift, Yost and Stoltenberg",Conditioner,50,3000
205,13,"Swift, Yost and Stoltenberg",Shampoo,18,900
206,13,"Swift, Yost and Stoltenberg",Dry,40,1600
207,13,Bauch PLC,Dry,135,5400
208,13,Bauch PLC,Mousse,41,1435
209,13,Bauch PLC,Shampoo,83,4150
210,13,Goodwin-Purdy,Conditioner,194,11640
211,13,Goodwin-Purdy,Dry,426,17040
212,13,Goodwin-Purdy,Gel,139,4170
213,13,Kassulke Ltd,Mousse,27,945
214,13,Kassulke Ltd,Gel,28,840
215,13,Kassulke Ltd,Shampoo,55,2750
216,13,"Dach, Berge and Lebsack",Gel,190,5700
217,13,"Dach, Berge and Lebsack",Dry,31,1240
218,13,"Dach, Berge and Lebsack",Shampoo,21,1050
219,13,"Hoppe, Wuckert and Moore",Conditioner,9,540
220,13,"Hoppe, Wuckert and Moore",Dry,69,2760
221,13,"Hoppe, Wuckert and Moore",Shampoo,43,2150
222,13,Gottlieb-Bahringer,Conditioner,37,2220
223,13,Gottlieb-Bahringer,Gel,103,3090
224,13,Gottlieb-Bahringer,Shampoo,5,250
225,13,Leuschke-Bahringer,Dry,126,5040
226,13,Leuschke-Bahringer,Shampoo,22,1100
227,13,Leuschke-Bahringer,Mousse,163,5705
228,13,Brakus-Langosh,Conditioner,179,10740
229,13,Brakus-Langosh,Shampoo,283,14150
230,13,Brakus-Langosh,Mousse,123,4305
231,13,Green-Schoen,Dry,38,1520
232,13,Green-Schoen,Gel,192,5760
233,13,Green-Schoen,Shampoo,97,4850
234,13,"Thompson, Schmeler and Emard",Dry,406,16240
235,13,"Thompson, Schmeler and Emard",Conditioner,172,10320
236,13,"Thompson, Schmeler and Emard",Mousse,134,4690
237,13,Marvin Inc,Shampoo,15,750
238,13,Marvin Inc,Conditioner,3,180
239,13,Marvin Inc,Mousse,104,3640
240,13,Schimmel Inc,Shampoo,249,12450
241,13,Schimmel Inc,Mousse,116,4060
242,13,Schimmel Inc,Gel,162,4860
243,13,Schaden Inc,Dry,69,2760
244,13,Schaden Inc,Shampoo,46,2300
245,13,Schaden Inc,Conditioner,8,480
246,13,Ritchie-Kunze,Mousse,530,18550
247,13,Ritchie-Kunze,Shampoo,283,14150
248,13,Ritchie-Kunze,Conditioner,40,2400
249,13,"Schowalter, Casper and Moen",Dry,72,2880
250,13,"Schowalter, Casper and Moen",Mousse,89,3115
251,13,"Schowalter, Casper and Moen",Conditioner,4,240
252,13,Douglas PLC,Mousse,189,6615
253,13,Douglas PLC,Conditioner,11,660
254,13,Douglas PLC,Shampoo,20,1000
255,13,"Hauck, Stark and Denesik",Conditioner,44,2640
256,13,"Hauck, Stark and Denesik",Mousse,519,18165
257,13,"Hauck, Stark and Denesik",Shampoo,253,12650
258,13,McClure-Howe,Shampoo,12,600
259,13,McClure-Howe,Conditioner,4,240
260,13,McClure-Howe,Gel,102,3060
261,13,"Hackett, Rippin and Wiza",Conditioner,25,1500
262,13,"Hackett, Rippin and Wiza",Shampoo,46,2300
263,13,"Hackett, Rippin and Wiza",Gel,35,1050
264,13,Harvey-Daugherty,Dry,423,16920
265,13,Harvey-Daugherty,Mousse,136,4760
266,13,Harvey-Daugherty,Conditioner,184,11040
267,13,Hyatt-Ullrich,Mousse,23,805
268,13,Hyatt-Ullrich,Conditioner,25,1500
269,13,Hyatt-Ullrich,Shampoo,57,2850
270,13,"White, Fay and Kertzmann",Dry,70,2800
271,13,"White, Fay and Kertzmann",Conditioner,5,300
272,13,"White, Fay and Kertzmann",Gel,118,3540
273,13,Powlowski-Kovacek,Conditioner,24,1440
274,13,Powlowski-Kovacek,Shampoo,51,2550
275,13,Powlowski-Kovacek,Dry,53,2120
276,13,"Parker, Runte and Treutel",Conditioner,42,2520
277,13,"Parker, Runte and Treutel",Gel,169,5070
278,13,"Parker, Runte and Treutel",Mousse,528,18480
279,13,Gleason Group,Gel,587,17610
280,13,Gleason Group,Dry,395,15800
281,13,Gleason Group,Shampoo,75,3750
282,13,"Lynch, Feil and Bednar",Gel,198,5940
283,13,"Lynch, Feil and Bednar",Shampoo,81,4050
284,13,"Lynch, Feil and Bednar",Mousse,40,1400
285,13,Johnston-Paucek,Mousse,135,4725
286,13,Johnston-Paucek,Dry,422,16880
287,13,Johnston-Paucek,Shampoo,247,12350
288,13,Dach Group,Shampoo,100,5000
289,13,Dach Group,Gel,192,5760
290,13,Dach Group,Conditioner,70,4200
291,13,Rutherford-Hammes,Dry,71,2840
292,13,Rutherford-Hammes,Conditioner,28,1680
293,13,Rutherford-Hammes,Shampoo,59,2950
294,13,"Bogan, Upton and Schoen",Gel,607,18210
295,13,"Bogan, Upton and Schoen",Conditioner,52,3120
296,13,"Bogan, Upton and Schoen",Dry,372,14880
297,13,"Gibson, Runolfsson and Gutmann",Gel,156,4680
298,13,"Gibson, Runolfsson and Gutmann",Dry,414,16560
299,13,"Gibson, Runolfsson and Gutmann",Conditioner,173,10380
300,14,Jewess PLC,Mousse,130,4550
301,14,Jewess PLC,Gel,147,4410
302,14,Jewess PLC,Conditioner,205,12300
303,14,Reynolds-Ortiz,Gel,192,5760
304,14,Reynolds-Ortiz,Shampoo,31,1550
305,14,Reynolds-Ortiz,Dry,35,1400
306,14,"Franecki, Osinski and Ferry",Shampoo,81,4050
307,14,"Franecki, Osinski and Ferry",Gel,667,20010
308,14,"Franecki, Osinski and Ferry",Conditioner,173,10380
309,14,Purdy-Tillman,Shampoo,32,1600
310,14,Purdy-Tillman,Dry,74,2960
311,14,Purdy-Tillman,Gel,33,990
312,14,Haag-Sanford,Shampoo,25,1250
313,14,Haag-Sanford,Conditioner,6,360
314,14,Haag-Sanford,Dry,132,5280
315,14,McDermott Ltd,Dry,85,3400
316,14,McDermott Ltd,Conditioner,8,480
317,14,McDermott Ltd,Shampoo,49,2450
318,14,Howell-Champlin,Mousse,582,20370
319,14,Howell-Champlin,Gel,184,5520
320,14,Howell-Champlin,Conditioner,54,3240
321,14,Schmitt-Legros,Dry,130,5200
322,14,Schmitt-Legros,Gel,52,1560
323,14,Schmitt-Legros,Mousse,50,1750
324,14,"Zboncak, Labadie and West",Gel,21,630
325,14,"Zboncak, Labadie and West",Mousse,20,700
326,14,"Zboncak, Labadie and West",Shampoo,47,2350
327,14,Dach-White,Dry,138,5520
328,14,Dach-White,Conditioner,21,1260
329,14,Dach-White,Gel,55,1650
330,14,Lueilwitz and Sons,Conditioner,12,720
331,14,Lueilwitz and Sons,Gel,214,6420
332,14,Lueilwitz and Sons,Dry,149,5960
333,14,Jacobi PLC,Mousse,86,3010
334,14,Jacobi PLC,Conditioner,29,1740
335,14,Jacobi PLC,Shampoo,9,450
336,14,"Ruecker, Bashirian and Moen",Conditioner,28,1680
337,14,"Ruecker, Bashirian and Moen",Gel,104,3120
338,14,"Ruecker, Bashirian and Moen",Shampoo,45,2250
339,14,Bayer Inc,Mousse,520,18200
340,14,Bayer Inc,Shampoo,289,14450
341,14,Bayer Inc,Conditioner,37,2220
342,14,"Johnston, Feeney and Collier",Mousse,38,1330
343,14,"Johnston, Feeney and Collier",Gel,51,1530
344,14,"Johnston, Feeney and Collier",Dry,142,5680
345,14,Simonis Ltd,Mousse,18,630
346,14,Simonis Ltd,Conditioner,37,2220
347,14,Simonis Ltd,Shampoo,40,2000
348,14,Schowalter-Dooley,Conditioner,8,480
349,14,Schowalter-Dooley,Mousse,91,3185
350,14,Schowalter-Dooley,Dry,64,2560
351,14,Fritsch Inc,Shampoo,65,3250
352,14,Fritsch Inc,Dry,408,16320
353,14,Fritsch Inc,Gel,577,17310
354,14,Howe-Koepp,Gel,156,4680
355,14,Howe-Koepp,Conditioner,48,2880
356,14,Howe-Koepp,Mousse,529,18515
357,14,Little LLC,Shampoo,96,4800
358,14,Little LLC,Dry,32,1280
359,14,Little LLC,Gel,209,6270
360,14,"Gislason, Kuhic and Leffler",Shampoo,65,3250
361,14,"Gislason, Kuhic and Leffler",Mousse,552,19320
362,14,"Gislason, Kuhic and Leffler",Conditioner,170,10200
363,14,Ortiz-McGlynn,Dry,139,5560
364,14,Ortiz-McGlynn,Mousse,189,6615
365,14,Ortiz-McGlynn,Conditioner,17,1020
366,14,Kuhic-Barton,Shampoo,276,13800
367,14,Kuhic-Barton,Gel,151,4530
368,14,Kuhic-Barton,Conditioner,53,3180
369,14,"Upton, Cronin and Hermiston",Dry,163,6520
370,14,"Upton, Cronin and Hermiston",Mousse,41,1435
371,14,"Upton, Cronin and Hermiston",Conditioner,73,4380
372,14,Bergstrom-Reynolds,Gel,639,19170
373,14,Bergstrom-Reynolds,Mousse,559,19565
374,14,Bergstrom-Reynolds,Dry,398,15920
375,14,Jerde PLC,Mousse,189,6615
376,14,Jerde PLC,Dry,35,1400
377,14,Jerde PLC,Conditioner,61,3660
378,14,Fahey PLC,Mousse,125,4375
379,14,Fahey PLC,Shampoo,291,14550
380,14,Fahey PLC,Conditioner,188,11280
381,14,Feeney LLC,Shampoo,12,600
382,14,Feeney LLC,Gel,96,2880
383,14,Feeney LLC,Conditioner,7,420
384,14,Goldner and Sons,Shampoo,104,5200
385,14,Goldner and Sons,Mousse,177,6195
386,14,Goldner and Sons,Conditioner,13,780
387,14,Flatley Group,Dry,76,3040
388,14,Flatley Group,Conditioner,9,540
389,14,Flatley Group,Shampoo,47,2350
390,14,"Schuppe, Homenick and Labadie",Shampoo,94,4700
391,14,"Schuppe, Homenick and Labadie",Mousse,39,1365
392,14,"Schuppe, Homenick and Labadie",Dry,40,1600
393,14,"Schowalter, Halvorson and Bechtelar",Dry,13,520
394,14,"Schowalter, Halvorson and Bechtelar",Conditioner,35,2100
395,14,"Schowalter, Halvorson and Bechtelar",Shampoo,51,2550
396,14,"Bailey, Bergnaum and Sanford",Dry,429,17160
397,14,"Bailey, Bergnaum and Sanford",Gel,168,5040
398,14,"Bailey, Bergnaum and Sanford",Conditioner,202,12120
399,14,"Wintheiser, Witting and Fay",Mousse,37,1295
400,14,"Wintheiser, Witting and Fay",Conditioner,54,3240
401,14,"Wintheiser, Witting and Fay",Dry,33,1320
402,14,Mann Inc,Dry,78,3120
403,14,Mann Inc,Conditioner,7,420
404,14,Mann Inc,Gel,30,900
405,14,Lockman-Marquardt,Mousse,97,3395
406,14,Lockman-Marquardt,Gel,21,630
407,14,Lockman-Marquardt,Dry,56,2240
408,14,Corwin Ltd,Shampoo,77,3850
409,14,Corwin Ltd,Gel,609,18270
410,14,Corwin Ltd,Mousse,604,21140
411,14,Bradtke Inc,Conditioner,26,1560
412,14,Bradtke Inc,Shampoo,50,2500
413,14,Bradtke Inc,Dry,15,600
414,14,Marks Ltd,Dry,135,5400
415,14,Marks Ltd,Mousse,182,6370
416,14,Marks Ltd,Conditioner,20,1200
417,14,Harvey-Baumbach,Shampoo,58,2900
418,14,Harvey-Baumbach,Mousse,545,19075
419,14,Harvey-Baumbach,Gel,682,20460
420,14,King Group,Mousse,94,3290
421,14,King Group,Conditioner,8,480
422,14,King Group,Dry,77,3080
423,14,Hintz-Mohr,Shampoo,278,13900
424,14,Hintz-Mohr,Mousse,114,3990
425,14,Hintz-Mohr,Conditioner,187,11220
426,14,"Schroeder, Crist and Medhurst",Dry,139,5560
427,14,"Schroeder, Crist and Medhurst",Shampoo,92,4600
428,14,"Schroeder, Crist and Medhurst",Mousse,182,6370
429,14,Shanahan-Aufderhar,Gel,90,2700
430,14,Shanahan-Aufderhar,Mousse,96,3360
431,14,Shanahan-Aufderhar,Dry,13,520
432,14,Beier Inc,Gel,618,18540
433,14,Beier Inc,Shampoo,64,3200
434,14,Beier Inc,Mousse,508,17780
435,14,Schuppe LLC,Mousse,23,805
436,14,Schuppe LLC,Shampoo,40,2000
437,14,Schuppe LLC,Conditioner,34,2040
438,14,Spinka PLC,Conditioner,11,660
439,14,Spinka PLC,Dry,130,5200
440,14,Spinka PLC,Shampoo,27,1350
441,14,Predovic LLC,Conditioner,71,4260
442,14,Predovic LLC,Dry,33,1320
443,14,Predovic LLC,Shampoo,85,4250
444,14,Tremblay and Sons,Shampoo,15,750
445,14,Tremblay and Sons,Conditioner,51,3060
446,14,Tremblay and Sons,Mousse,170,5950
447,14,Hoppe Ltd,Shampoo,96,4800
448,14,Hoppe Ltd,Gel,48,1440
449,14,Hoppe Ltd,Mousse,44,1540
450,14,West Inc,Shampoo,8,400
451,14,West Inc,Mousse,86,3010
452,14,West Inc,Conditioner,12,720
453,14,Becker-McGlynn,Gel,574,17220
454,14,Becker-McGlynn,Conditioner,42,2520
455,14,Becker-McGlynn,Dry,409,16360
456,14,Mertz LLC,Mousse,169,5915
457,14,Mertz LLC,Dry,34,1360
458,14,Mertz LLC,Shampoo,20,1000
459,14,Zieme-Kiehn,Shampoo,17,850
460,14,Zieme-Kiehn,Gel,212,6360
461,14,Zieme-Kiehn,Conditioner,70,4200
462,14,"Luettgen, Mraz and Barrows",Gel,678,20340
463,14,"Luettgen, Mraz and Barrows",Dry,377,15080
464,14,"Luettgen, Mraz and Barrows",Mousse,541,18935
465,14,Treutel Inc,Conditioner,58,3480
466,14,Treutel Inc,Shampoo,81,4050
467,14,Treutel Inc,Gel,205,6150
468,14,Kuvalis-O'Keefe,Mousse,38,1330
469,14,Kuvalis-O'Keefe,Shampoo,110,5500
470,14,Kuvalis-O'Keefe,Dry,33,1320
471,14,Casper Ltd,Gel,178,5340
472,14,Casper Ltd,Conditioner,13,780
473,14,Casper Ltd,Mousse,201,7035
474,14,"Ullrich, Friesen and Heathcote",Dry,83,3320
475,14,"Ullrich, Friesen and Heathcote",Conditioner,12,720
476,14,"Ullrich, Friesen and Heathcote",Gel,21,630
477,14,Feeney-Smith,Mousse,24,840
478,14,Feeney-Smith,Shampoo,62,3100
479,14,Feeney-Smith,Conditioner,25,1500
480,14,Jacobs-Pacocha,Shampoo,81,4050
481,14,Jacobs-Pacocha,Mousse,149,5215
482,14,Jacobs-Pacocha,Conditioner,16,960
483,14,Ondricka Ltd,Gel,184,5520
484,14,Ondricka Ltd,Conditioner,22,1320
485,14,Ondricka Ltd,Mousse,183,6405
486,14,Hermiston Inc,Dry,372,14880
487,14,Hermiston Inc,Gel,161,4830
488,14,Hermiston Inc,Conditioner,177,10620
489,14,"King, Schneider and Kuphal",Dry,79,3160
490,14,"King, Schneider and Kuphal",Shampoo,11,550
491,14,"King, Schneider and Kuphal",Gel,102,3060
492,14,Thiel-Wilderman,Shampoo,62,3100
493,14,Thiel-Wilderman,Mousse,542,18970
494,14,Thiel-Wilderman,Dry,116,4640
495,14,Glover Group,Shampoo,16,800
496,14,Glover Group,Gel,205,6150
497,14,Glover Group,Mousse,185,6475
498,14,Hand-Schoen,Dry,114,4560
499,14,Hand-Schoen,Gel,639,19170
500,14,Hand-Schoen,Mousse,132,4620
501,14,Orn Ltd,Conditioner,30,1800
502,14,Orn Ltd,Gel,150,4500
503,14,Orn Ltd,Mousse,564,19740
504,14,"Swift, Yost and Stoltenberg",Conditioner,62,3720
505,14,"Swift, Yost and Stoltenberg",Shampoo,25,1250
506,14,"Swift, Yost and Stoltenberg",Dry,36,1440
507,14,Bauch PLC,Dry,119,4760
508,14,Bauch PLC,Mousse,50,1750
509,14,Bauch PLC,Shampoo,94,4700
510,14,Goodwin-Purdy,Conditioner,202,12120
511,14,Goodwin-Purdy,Dry,425,17000
512,14,Goodwin-Purdy,Gel,146,4380
513,14,Kassulke Ltd,Mousse,21,735
514,14,Kassulke Ltd,Gel,29,870
515,14,Kassulke Ltd,Shampoo,48,2400
516,14,"Dach, Berge and Lebsack",Gel,207,6210
517,14,"Dach, Berge and Lebsack",Dry,33,1320
518,14,"Dach, Berge and Lebsack",Shampoo,21,1050
519,14,"Hoppe, Wuckert and Moore",Conditioner,8,480
520,14,"Hoppe, Wuckert and Moore",Dry,74,2960
521,14,"Hoppe, Wuckert and Moore",Shampoo,47,2350
522,14,Gottlieb-Bahringer,Conditioner,26,1560
523,14,Gottlieb-Bahringer,Gel,104,3120
524,14,Gottlieb-Bahringer,Shampoo,7,350
525,14,Leuschke-Bahringer,Dry,140,5600
526,14,Leuschke-Bahringer,Shampoo,16,800
527,14,Leuschke-Bahringer,Mousse,142,4970
528,14,Brakus-Langosh,Conditioner,182,10920
529,14,Brakus-Langosh,Shampoo,285,14250
530,14,Brakus-Langosh,Mousse,170,5950
531,14,Green-Schoen,Dry,35,1400
532,14,Green-Schoen,Gel,206,6180
533,14,Green-Schoen,Shampoo,75,3750
534,14,"Thompson, Schmeler and Emard",Dry,409,16360
535,14,"Thompson, Schmeler and Emard",Conditioner,210,12600
536,14,"Thompson, Schmeler and Emard",Mousse,147,5145
537,14,Marvin Inc,Shampoo,11,550
538,14,Marvin Inc,Conditioner,5,300
539,14,Marvin Inc,Mousse,95,3325
540,14,Schimmel Inc,Shampoo,265,13250
541,14,Schimmel Inc,Mousse,136,4760
542,14,Schimmel Inc,Gel,156,4680
543,14,Schaden Inc,Dry,61,2440
544,14,Schaden Inc,Shampoo,43,2150
545,14,Schaden Inc,Conditioner,6,360
546,14,Ritchie-Kunze,Mousse,537,18795
547,14,Ritchie-Kunze,Shampoo,264,13200
548,14,Ritchie-Kunze,Conditioner,55,3300
549,14,"Schowalter, Casper and Moen",Dry,63,2520
550,14,"Schowalter, Casper and Moen",Mousse,88,3080
551,14,"Schowalter, Casper and Moen",Conditioner,9,540
552,14,Douglas PLC,Mousse,182,6370
553,14,Douglas PLC,Conditioner,11,660
554,14,Douglas PLC,Shampoo,22,1100
555,14,"Hauck, Stark and Denesik",Conditioner,34,2040
556,14,"Hauck, Stark and Denesik",Mousse,515,18025
557,14,"Hauck, Stark and Denesik",Shampoo,279,13950
558,14,McClure-Howe,Shampoo,12,600
559,14,McClure-Howe,Conditioner,13,780
560,14,McClure-Howe,Gel,90,2700
561,14,"Hackett, Rippin and Wiza",Conditioner,30,1800
562,14,"Hackett, Rippin and Wiza",Shampoo,49,2450
