Index,Week,Customer,SalonType,Market,Product,Qty,Money
36,13,"Gusikowski, Aufderhar and Funk",Importance,Small,Conditioner,10,600
37,13,"Gusikowski, Aufderhar and Funk",Importance,Small,Shampoo,41,2050
38,13,"Gusikowski, Aufderhar and Funk",Importance,Small,Dry,74,2960
39,13,Ortiz Ltd,Retail,Major,Shampoo,78,3900
40,13,Ortiz Ltd,Retail,Major,Dry,101,4040
41,13,Ortiz Ltd,Retail,Major,Mousse,540,18900
42,13,Haley LLC,Scholar,Mid,Shampoo,19,950
43,13,Haley LLC,Scholar,Mid,Conditioner,20,1200
44,13,Haley LLC,Scholar,Mid,Dry,146,5840
45,13,Heller-Runte,Upscale,Small,Conditioner,20,1200
46,13,Heller-Runte,Upscale,Small,Mousse,22,770
47,13,Heller-Runte,Upscale,Small,Shampoo,60,3000
48,13,Rau-Hodkiewicz,Suite,Major,Gel,604,18120
49,13,Rau-Hodkiewicz,Suite,Major,Mousse,150,5250
50,13,Rau-Hodkiewicz,Suite,Major,Dry,102,4080
51,13,Cremin PLC,Importance,Mid,Conditioner,9,540
52,13,Cremin PLC,Importance,Mid,Gel,50,1500
53,13,Cremin PLC,Importance,Mid,Shampoo,92,4600
54,13,Torp PLC,Retail,Small,Conditioner,39,2340
55,13,Torp PLC,Retail,Small,Shampoo,8,400
56,13,Torp PLC,Retail,Small,Mousse,98,3430
57,13,"Halvorson, Reynolds and Gislason",Scholar,Major,Shampoo,64,3200
58,13,"Halvorson, Reynolds and Gislason",Scholar,Major,Conditioner,42,2520
59,13,"Halvorson, Reynolds and Gislason",Scholar,Major,Gel,564,16920
60,13,Pagac LLC,Upscale,Mid,Gel,43,1290
61,13,Pagac LLC,Upscale,Mid,Conditioner,59,3540
62,13,Pagac LLC,Upscale,Mid,Shampoo,108,5400
63,13,"Gislason, Mayert and Conn",Suite,Small,Dry,16,640
64,13,"Gislason, Mayert and Conn",Suite,Small,Shampoo,46,2300
65,13,"Gislason, Mayert and Conn",Suite,Small,Gel,99,2970
66,13,Kautzer-Pacocha,Importance,Major,Conditioner,44,2640
67,13,Kautzer-Pacocha,Importance,Major,Shampoo,278,13900
68,13,Kautzer-Pacocha,Importance,Major,Dry,403,16120
69,13,Kreiger-Schimmel,Retail,Mid,Dry,42,1680
70,13,Kreiger-Schimmel,Retail,Mid,Conditioner,67,4020
71,13,Kreiger-Schimmel,Retail,Mid,Gel,183,5490
72,13,Hamill-Lynch,Scholar,Small,Dry,76,3040
73,13,Hamill-Lynch,Scholar,Small,Mousse,76,2660
74,13,Hamill-Lynch,Scholar,Small,Conditioner,9,540
75,13,"Maggio, Lebsack and Gottlieb",Upscale,Major,Shampoo,286,14300
76,13,"Maggio, Lebsack and Gottlieb",Upscale,Major,Dry,399,15960
77,13,"Maggio, Lebsack and Gottlieb",Upscale,Major,Gel,162,4860
78,13,"Kuhlman, Predovic and Grady",Suite,Mid,Shampoo,98,4900
79,13,"Kuhlman, Predovic and Grady",Suite,Mid,Mousse,43,1505
80,13,"Kuhlman, Predovic and Grady",Suite,Mid,Conditioner,61,3660
81,13,Wisoky LLC,Importance,Small,Dry,64,2560
82,13,Wisoky LLC,Importance,Small,Shampoo,45,2250
83,13,Wisoky LLC,Importance,Small,Conditioner,6,360
84,13,"Lebsack, Zulauf and Ziemann",Retail,Major,Conditioner,193,11580
85,13,"Lebsack, Zulauf and Ziemann",Retail,Major,Mousse,547,19145
86,13,"Lebsack, Zulauf and Ziemann",Retail,Major,Dry,111,4440
87,13,"Boehm, Monahan and Considine",Scholar,Mid,Gel,178,5340
88,13,"Boehm, Monahan and Considine",Scholar,Mid,Shampoo,23,1150
89,13,"Boehm, Monahan and Considine",Scholar,Mid,Mousse,186,6510
90,13,"White, Quigley and O'Keefe",Upscale,Small,Gel,19,570
91,13,"White, Quigley and O'Keefe",Upscale,Small,Shampoo,35,1750
92,13,"White, Quigley and O'Keefe",Upscale,Small,Dry,67,2680
93,13,Padberg-Rowe,Suite,Major,Dry,107,4280
94,13,Padberg-Rowe,Suite,Major,Conditioner,185,11100
95,13,Padberg-Rowe,Suite,Major,Gel,608,18240
96,13,Towne-Brown,Importance,Mid,Shampoo,93,4650
97,13,Towne-Brown,Importance,Mid,Gel,69,2070
98,13,Towne-Brown,Importance,Mid,Dry,126,5040
99,13,Anderson LLC,Retail,Small,Gel,106,3180
100,13,Anderson LLC,Retail,Small,Dry,18,720
101,13,Anderson LLC,Retail,Small,Mousse,72,2520
102,13,Zieme-Pfeffer,Scholar,Major,Shampoo,52,2600
103,13,Zieme-Pfeffer,Scholar,Major,Conditioner,43,2580
104,13,Zieme-Pfeffer,Scholar,Major,Mousse,508,17780
105,13,Schowalter-Waelchi,Upscale,Mid,Mousse,42,1470
106,13,Schowalter-Waelchi,Upscale,Mid,Gel,46,1380
107,13,Schowalter-Waelchi,Upscale,Mid,Dry,138,5520
108,13,"Zemlak, Thiel and Ankunding",Suite,Small,Conditioner,31,1860
109,13,"Zemlak, Thiel and Ankunding",Suite,Small,Mousse,24,840
110,13,"Zemlak, Thiel and Ankunding",Suite,Small,Shampoo,56,2800
111,13,Kautzer-Prohaska,Importance,Major,Mousse,521,18235
112,13,Kautzer-Prohaska,Importance,Major,Gel,162,4860
113,13,Kautzer-Prohaska,Importance,Major,Dry,419,16760
114,13,Greenfelder-Gerhold,Retail,Mid,Mousse,167,5845
115,13,Greenfelder-Gerhold,Retail,Mid,Shampoo,23,1150
116,13,Greenfelder-Gerhold,Retail,Mid,Dry,32,1280
117,13,Keebler Group,Scholar,Small,Mousse,94,3290
118,13,Keebler Group,Scholar,Small,Conditioner,15,900
119,13,Keebler Group,Scholar,Small,Gel,95,2850
120,13,Quitzon PLC,Upscale,Major,Dry,403,16120
121,13,Quitzon PLC,Upscale,Major,Shampoo,285,14250
122,13,Quitzon PLC,Upscale,Major,Conditioner,184,11040
123,13,Ebert-Fay,Suite,Mid,Gel,215,6450
124,13,Ebert-Fay,Suite,Mid,Conditioner,59,3540
125,13,Ebert-Fay,Suite,Mid,Shampoo,87,4350
126,13,"Yundt, Dooley and Green",Importance,Small,Mousse,94,3290
127,13,"Yundt, Dooley and Green",Importance,Small,Dry,65,2600
128,13,"Yundt, Dooley and Green",Importance,Small,Gel,32,960
129,13,"Schmidt, Jacobs and Berge",Retail,Major,Conditioner,188,11280
130,13,"Schmidt, Jacobs and Berge",Retail,Major,Gel,651,19530
131,13,"Schmidt, Jacobs and Berge",Retail,Major,Shampoo,47,2350
132,13,Oberbrunner PLC,Scholar,Mid,Gel,201,6030
133,13,Oberbrunner PLC,Scholar,Mid,Dry,133,5320
134,13,Oberbrunner PLC,Scholar,Mid,Mousse,188,6580
135,14,Roberts-Trantow,Upscale,Small,Conditioner,30,1800
136,14,Roberts-Trantow,Upscale,Small,Mousse,20,700
137,14,Roberts-Trantow,Upscale,Small,Dry,66,2640
138,14,Zulauf-Kilback,Suite,Major,Conditioner,186,11160
139,14,Zulauf-Kilback,Suite,Major,Mousse,155,5425
140,14,Zulauf-Kilback,Suite,Major,Shampoo,271,13550
141,14,"Parisian, Glover and Schumm",Importance,Mid,Conditioner,12,720
142,14,"Parisian, Glover and Schumm",Importance,Mid,Shampoo,90,4500
143,14,"Parisian, Glover and Schumm",Importance,Mid,Gel,54,1620
144,14,Nader Inc,Retail,Small,Conditioner,38,2280
145,14,Nader Inc,Retail,Small,Gel,112,3360
146,14,Nader Inc,Retail,Small,Shampoo,10,500
147,14,Kemmer LLC,Scholar,Major,Shampoo,73,3650
148,14,Kemmer LLC,Scholar,Major,Mousse,550,19250
149,14,Kemmer LLC,Scholar,Major,Conditioner,38,2280
150,14,Friesen-Miller,Upscale,Mid,Conditioner,59,3540
151,14,Friesen-Miller,Upscale,Mid,Dry,155,6200
152,14,Friesen-Miller,Upscale,Mid,Mousse,48,1680
153,14,Crist-Langosh,Suite,Small,Mousse,32,1120
154,14,Crist-Langosh,Suite,Small,Shampoo,46,2300
155,14,Crist-Langosh,Suite,Small,Conditioner,25,1500
156,14,"Grant, Schneider and Steuber",Importance,Major,Conditioner,58,3480
157,14,"Grant, Schneider and Steuber",Importance,Major,Dry,411,16440
158,14,"Grant, Schneider and Steuber",Importance,Major,Shampoo,280,14000
159,14,"Brown, Bosco and Kshlerin",Retail,Mid,Gel,221,6630
160,14,"Brown, Bosco and Kshlerin",Retail,Mid,Shampoo,9,450
161,14,"Brown, Bosco and Kshlerin",Retail,Mid,Dry,35,1400
162,14,Jenkins-Johnson,Scholar,Small,Dry,82,3280
163,14,Jenkins-Johnson,Scholar,Small,Gel,89,2670
164,14,Jenkins-Johnson,Scholar,Small,Conditioner,5,300
165,14,"Effertz, West and Runte",Upscale,Major,Conditioner,205,12300
166,14,"Effertz, West and Runte",Upscale,Major,Dry,416,16640
167,14,"Effertz, West and Runte",Upscale,Major,Mousse,138,4830
168,14,"Schuster, Senger and Boyle",Suite,Mid,Mousse,47,1645
169,14,"Schuster, Senger and Boyle",Suite,Mid,Conditioner,72,4320
170,14,"Schuster, Senger and Boyle",Suite,Mid,Shampoo,87,4350
171,14,"Gusikowski, Aufderhar and Funk",Importance,Small,Conditioner,4,240
172,14,"Gusikowski, Aufderhar and Funk",Importance,Small,Shampoo,52,2600
173,14,"Gusikowski, Aufderhar and Funk",Importance,Small,Dry,79,3160
174,14,Ortiz Ltd,Retail,Major,Shampoo,62,3100
175,14,Ortiz Ltd,Retail,Major,Dry,110,4400
176,14,Ortiz Ltd,Retail,Major,Mousse,492,17220
177,14,Haley LLC,Scholar,Mid,Shampoo,22,1100
178,14,Haley LLC,Scholar,Mid,Conditioner,17,1020
179,14,Haley LLC,Scholar,Mid,Dry,172,6880
180,14,Heller-Runte,Upscale,Small,Conditioner,19,1140
181,14,Heller-Runte,Upscale,Small,Mousse,16,560
182,14,Heller-Runte,Upscale,Small,Shampoo,40,2000
183,14,Rau-Hodkiewicz,Suite,Major,Gel,650,19500
184,14,Rau-Hodkiewicz,Suite,Major,Mousse,139,4865
185,14,Rau-Hodkiewicz,Suite,Major,Dry,105,4200
186,14,Cremin PLC,Importance,Mid,Conditioner,18,1080
187,14,Cremin PLC,Importance,Mid,Gel,45,1350
188,14,Cremin PLC,Importance,Mid,Shampoo,102,5100
189,14,Torp PLC,Retail,Small,Conditioner,36,2160
190,14,Torp PLC,Retail,Small,Shampoo,10,500
191,14,Torp PLC,Retail,Small,Mousse,91,3185
192,14,"Halvorson, Reynolds and Gislason",Scholar,Major,Shampoo,74,3700
193,14,"Halvorson, Reynolds and Gislason",Scholar,Major,Conditioner,44,2640
194,14,"Halvorson, Reynolds and Gislason",Scholar,Major,Gel,672,20160
195,14,Pagac LLC,Upscale,Mid,Gel,55,1650
196,14,Pagac LLC,Upscale,Mid,Conditioner,66,3960
197,14,Pagac LLC,Upscale,Mid,Shampoo,92,4600
198,14,"Gislason, Mayert and Conn",Suite,Small,Dry,14,560
199,14,"Gislason, Mayert and Conn",Suite,Small,Shampoo,56,2800
200,14,"Gislason, Mayert and Conn",Suite,Small,Gel,109,3270
201,14,Kautzer-Pacocha,Importance,Major,Conditioner,40,2400
202,14,Kautzer-Pacocha,Importance,Major,Shampoo,279,13950
203,14,Kautzer-Pacocha,Importance,Major,Dry,417,16680
204,14,Kreiger-Schimmel,Retail,Mid,Dry,33,1320
205,14,Kreiger-Schimmel,Retail,Mid,Conditioner,65,3900
206,14,Kreiger-Schimmel,Retail,Mid,Gel,220,6600
207,14,Hamill-Lynch,Scholar,Small,Dry,69,2760
208,14,Hamill-Lynch,Scholar,Small,Mousse,92,3220
209,14,Hamill-Lynch,Scholar,Small,Conditioner,4,240
210,14,"Maggio, Lebsack and Gottlieb",Upscale,Major,Shampoo,283,14150
211,14,"Maggio, Lebsack and Gottlieb",Upscale,Major,Dry,443,17720
212,14,"Maggio, Lebsack and Gottlieb",Upscale,Major,Gel,140,4200
213,14,"Kuhlman, Predovic and Grady",Suite,Mid,Shampoo,97,4850
214,14,"Kuhlman, Predovic and Grady",Suite,Mid,Mousse,40,1400
215,14,"Kuhlman, Predovic and Grady",Suite,Mid,Conditioner,69,4140
216,14,Wisoky LLC,Importance,Small,Dry,58,2320
217,14,Wisoky LLC,Importance,Small,Shampoo,43,2150
218,14,Wisoky LLC,Importance,Small,Conditioner,9,540
219,14,"Lebsack, Zulauf and Ziemann",Retail,Major,Conditioner,188,11280
220,14,"Lebsack, Zulauf and Ziemann",Retail,Major,Mousse,557,19495
221,14,"Lebsack, Zulauf and Ziemann",Retail,Major,Dry,112,4480
222,14,"Boehm, Monahan and Considine",Scholar,Mid,Gel,211,6330
223,14,"Boehm, Monahan and Considine",Scholar,Mid,Shampoo,24,1200
224,14,"Boehm, Monahan and Considine",Scholar,Mid,Mousse,191,6685
225,14,"White, Quigley and O'Keefe",Upscale,Small,Gel,37,1110
226,14,"White, Quigley and O'Keefe",Upscale,Small,Shampoo,43,2150
227,14,"White, Quigley and O'Keefe",Upscale,Small,Dry,56,2240
228,14,Padberg-Rowe,Suite,Major,Dry,104,4160
229,14,Padberg-Rowe,Suite,Major,Conditioner,191,11460
230,14,Padberg-Rowe,Suite,Major,Gel,662,19860
231,14,Towne-Brown,Importance,Mid,Shampoo,105,5250
232,14,Towne-Brown,Importance,Mid,Gel,51,1530
233,14,Towne-Brown,Importance,Mid,Dry,143,5720
234,14,Anderson LLC,Retail,Small,Gel,97,2910
235,14,Anderson LLC,Retail,Small,Dry,16,640
236,14,Anderson LLC,Retail,Small,Mousse,82,2870
237,14,Zieme-Pfeffer,Scholar,Major,Shampoo,58,2900
238,14,Zieme-Pfeffer,Scholar,Major,Conditioner,47,2820
239,14,Zieme-Pfeffer,Scholar,Major,Mousse,518,18130
240,14,Schowalter-Waelchi,Upscale,Mid,Mousse,50,1750
241,14,Schowalter-Waelchi,Upscale,Mid,Gel,55,1650
242,14,Schowalter-Waelchi,Upscale,Mid,Dry,150,6000
243,14,"Zemlak, Thiel and Ankunding",Suite,Small,Conditioner,26,1560
244,14,"Zemlak, Thiel and Ankunding",Suite,Small,Mousse,18,630
245,14,"Zemlak, Thiel and Ankunding",Suite,Small,Shampoo,41,2050
246,14,Kautzer-Prohaska,Importance,Major,Mousse,560,19600
247,14,Kautzer-Prohaska,Importance,Major,Gel,180,5400
248,14,Kautzer-Prohaska,Importance,Major,Dry,452,18080
249,14,Greenfelder-Gerhold,Retail,Mid,Mousse,187,6545
250,14,Greenfelder-Gerhold,Retail,Mid,Shampoo,26,1300
251,14,Greenfelder-Gerhold,Retail,Mid,Dry,30,1200
252,14,Keebler Group,Scholar,Small,Mousse,116,4060
253,14,Keebler Group,Scholar,Small,Conditioner,11,660
254,14,Keebler Group,Scholar,Small,Gel,90,2700
255,14,Quitzon PLC,Upscale,Major,Dry,409,16360
256,14,Quitzon PLC,Upscale,Major,Shampoo,259,12950
257,14,Quitzon PLC,Upscale,Major,Conditioner,180,10800
258,14,Ebert-Fay,Suite,Mid,Gel,192,5760
259,14,Ebert-Fay,Suite,Mid,Conditioner,69,4140
260,14,Ebert-Fay,Suite,Mid,Shampoo,72,3600
261,14,"Yundt, Dooley and Green",Importance,Small,Mousse,102,3570
262,14,"Yundt, Dooley and Green",Importance,Small,Dry,72,2880
263,14,"Yundt, Dooley and Green",Importance,Small,Gel,24,720
264,14,"Schmidt, Jacobs and Berge",Retail,Major,Conditioner,173,10380
265,14,"Schmidt, Jacobs and Berge",Retail,Major,Gel,627,18810
266,14,"Schmidt, Jacobs and Berge",Retail,Major,Shampoo,56,2800
267,14,Oberbrunner PLC,Scholar,Mid,Gel,228,6840
268,14,Oberbrunner PLC,Scholar,Mid,Dry,154,6160
269,14,Oberbrunner PLC,Scholar,Mid,Mousse,195,6825
270,15,Roberts-Trantow,Upscale,Small,Conditioner,40,2400
271,15,Roberts-Trantow,Upscale,Small,Mousse,25,875
272,15,Roberts-Trantow,Upscale,Small,Dry,59,2360
273,15,Zulauf-Kilback,Suite,Major,Conditioner,170,10200
274,15,Zulauf-Kilback,Suite,Major,Mousse,112,3920
275,15,Zulauf-Kilback,Suite,Major,Shampoo,297,14850
276,15,"Parisian, Glover and Schumm",Importance,Mid,Conditioner,19,1140
277,15,"Parisian, Glover and Schumm",Importance,Mid,Shampoo,104,5200
278,15,"Parisian, Glover and Schumm",Importance,Mid,Gel,46,1380
279,15,Nader Inc,Retail,Small,Conditioner,36,2160
280,15,Nader Inc,Retail,Small,Gel,116,3480
281,15,Nader Inc,Retail,Small,Shampoo,15,750
282,15,Kemmer LLC,Scholar,Major,Shampoo,66,3300
283,15,Kemmer LLC,Scholar,Major,Mousse,562,19670
284,15,Kemmer LLC,Scholar,Major,Conditioner,50,3000
285,15,Friesen-Miller,Upscale,Mid,Conditioner,62,3720
286,15,Friesen-Miller,Upscale,Mid,Dry,142,5680
287,15,Friesen-Miller,Upscale,Mid,Mousse,46,1610
288,15,Crist-Langosh,Suite,Small,Mousse,15,525
289,15,Crist-Langosh,Suite,Small,Shampoo,43,2150
290,15,Crist-Langosh,Suite,Small,Conditioner,33,1980
291,15,"Grant, Schneider and Steuber",Importance,Major,Conditioner,48,2880
292,15,"Grant, Schneider and Steuber",Importance,Major,Dry,416,16640
293,15,"Grant, Schneider and Steuber",Importance,Major,Shampoo,276,13800
294,15,"Brown, Bosco and Kshlerin",Retail,Mid,Gel,208,6240
295,15,"Brown, Bosco and Kshlerin",Retail,Mid,Shampoo,23,1150
296,15,"Brown, Bosco and Kshlerin",Retail,Mid,Dry,30,1200
297,15,Jenkins-Johnson,Scholar,Small,Dry,69,2760
298,15,Jenkins-Johnson,Scholar,Small,Gel,105,3150
299,15,Jenkins-Johnson,Scholar,Small,Conditioner,11,660
300,15,"Effertz, West and Runte",Upscale,Major,Conditioner,160,9600
301,15,"Effertz, West and Runte",Upscale,Major,Dry,424,16960
302,15,"Effertz, West and Runte",Upscale,Major,Mousse,98,3430
303,15,"Schuster, Senger and Boyle",Suite,Mid,Mousse,40,1400
304,15,"Schuster, Senger and Boyle",Suite,Mid,Conditioner,73,4380
305,15,"Schuster, Senger and Boyle",Suite,Mid,Shampoo,92,4600
306,15,"Gusikowski, Aufderhar and Funk",Importance,Small,Conditioner,8,480
307,15,"Gusikowski, Aufderhar and Funk",Importance,Small,Shampoo,48,2400
308,15,"Gusikowski, Aufderhar and Funk",Importance,Small,Dry,74,2960
309,15,Ortiz Ltd,Retail,Major,Shampoo,62,3100
310,15,Ortiz Ltd,Retail,Major,Dry,109,4360
311,15,Ortiz Ltd,Retail,Major,Mousse,576,20160
312,15,Haley LLC,Scholar,Mid,Shampoo,32,1600
313,15,Haley LLC,Scholar,Mid,Conditioner,19,1140
314,15,Haley LLC,Scholar,Mid,Dry,119,4760
315,15,Heller-Runte,Upscale,Small,Conditioner,39,2340
316,15,Heller-Runte,Upscale,Small,Mousse,15,525
317,15,Heller-Runte,Upscale,Small,Shampoo,45,2250
318,15,Rau-Hodkiewicz,Suite,Major,Gel,639,19170
319,15,Rau-Hodkiewicz,Suite,Major,Mousse,157,5495
320,15,Rau-Hodkiewicz,Suite,Major,Dry,108,4320
321,15,Cremin PLC,Importance,Mid,Conditioner,13,780
322,15,Cremin PLC,Importance,Mid,Gel,58,1740
323,15,Cremin PLC,Importance,Mid,Shampoo,103,5150
324,15,Torp PLC,Retail,Small,Conditioner,27,1620
325,15,Torp PLC,Retail,Small,Shampoo,11,550
326,15,Torp PLC,Retail,Small,Mousse,95,3325
327,15,"Halvorson, Reynolds and Gislason",Scholar,Major,Shampoo,76,3800
328,15,"Halvorson, Reynolds and Gislason",Scholar,Major,Conditioner,49,2940
329,15,"Halvorson, Reynolds and Gislason",Scholar,Major,Gel,636,19080
330,15,Pagac LLC,Upscale,Mid,Gel,62,1860
331,15,Pagac LLC,Upscale,Mid,Conditioner,67,4020
332,15,Pagac LLC,Upscale,Mid,Shampoo,94,4700
333,15,"Gislason, Mayert and Conn",Suite,Small,Dry,9,360
334,15,"Gislason, Mayert and Conn",Suite,Small,Shampoo,42,2100
335,15,"Gislason, Mayert and Conn",Suite,Small,Gel,91,2730
336,15,Kautzer-Pacocha,Importance,Major,Conditioner,51,3060
337,15,Kautzer-Pacocha,Importance,Major,Shampoo,312,15600
338,15,Kautzer-Pacocha,Importance,Major,Dry,427,17080
339,15,Kreiger-Schimmel,Retail,Mid,Dry,43,1720
340,15,Kreiger-Schimmel,Retail,Mid,Conditioner,64,3840
341,15,Kreiger-Schimmel,Retail,Mid,Gel,206,6180
342,15,Hamill-Lynch,Scholar,Small,Dry,64,2560
343,15,Hamill-Lynch,Scholar,Small,Mousse,106,3710
344,15,Hamill-Lynch,Scholar,Small,Conditioner,5,300
345,15,"Maggio, Lebsack and Gottlieb",Upscale,Major,Shampoo,273,13650
346,15,"Maggio, Lebsack and Gottlieb",Upscale,Major,Dry,407,16280
347,15,"Maggio, Lebsack and Gottlieb",Upscale,Major,Gel,154,4620
348,15,"Kuhlman, Predovic and Grady",Suite,Mid,Shampoo,79,3950
349,15,"Kuhlman, Predovic and Grady",Suite,Mid,Mousse,45,1575
350,15,"Kuhlman, Predovic and Grady",Suite,Mid,Conditioner,70,4200
351,15,Wisoky LLC,Importance,Small,Dry,73,2920
352,15,Wisoky LLC,Importance,Small,Shampoo,33,1650
353,15,Wisoky LLC,Importance,Small,Conditioner,7,420
354,15,"Lebsack, Zulauf and Ziemann",Retail,Major,Conditioner,205,12300
355,15,"Lebsack, Zulauf and Ziemann",Retail,Major,Mousse,587,20545
356,15,"Lebsack, Zulauf and Ziemann",Retail,Major,Dry,110,4400
357,15,"Boehm, Monahan and Considine",Scholar,Mid,Gel,212,6360
358,15,"Boehm, Monahan and Considine",Scholar,Mid,Shampoo,14,700
359,15,"Boehm, Monahan and Considine",Scholar,Mid,Mousse,190,6650
360,15,"White, Quigley and O'Keefe",Upscale,Small,Gel,24,720
361,15,"White, Quigley and O'Keefe",Upscale,Small,Shampoo,60,3000
362,15,"White, Quigley and O'Keefe",Upscale,Small,Dry,52,2080
363,15,Padberg-Rowe,Suite,Major,Dry,124,4960
364,15,Padberg-Rowe,Suite,Major,Conditioner,178,10680
365,15,Padberg-Rowe,Suite,Major,Gel,608,18240
366,15,Towne-Brown,Importance,Mid,Shampoo,94,4700
367,15,Towne-Brown,Importance,Mid,Gel,57,1710
368,15,Towne-Brown,Importance,Mid,Dry,147,5880
369,15,Anderson LLC,Retail,Small,Gel,112,3360
370,15,Anderson LLC,Retail,Small,Dry,22,880
371,15,Anderson LLC,Retail,Small,Mousse,77,2695
372,15,Zieme-Pfeffer,Scholar,Major,Shampoo,59,2950
373,15,Zieme-Pfeffer,Scholar,Major,Conditioner,42,2520
374,15,Zieme-Pfeffer,Scholar,Major,Mousse,554,19390
375,15,Schowalter-Waelchi,Upscale,Mid,Mousse,44,1540
376,15,Schowalter-Waelchi,Upscale,Mid,Gel,52,1560
377,15,Schowalter-Waelchi,Upscale,Mid,Dry,125,5000
378,15,"Zemlak, Thiel and Ankunding",Suite,Small,Conditioner,26,1560
379,15,"Zemlak, Thiel and Ankunding",Suite,Small,Mousse,17,595
380,15,"Zemlak, Thiel and Ankunding",Suite,Small,Shampoo,44,2200
381,15,Kautzer-Prohaska,Importance,Major,Mousse,562,19670
382,15,Kautzer-Prohaska,Importance,Major,Gel,186,5580
383,15,Kautzer-Prohaska,Importance,Major,Dry,391,15640
384,15,Greenfelder-Gerhold,Retail,Mid,Mousse,178,6230
385,15,Greenfelder-Gerhold,Retail,Mid,Shampoo,12,600
386,15,Greenfelder-Gerhold,Retail,Mid,Dry,36,1440
387,15,Keebler Group,Scholar,Small,Mousse,95,3325
388,15,Keebler Group,Scholar,Small,Conditioner,6,360
389,15,Keebler Group,Scholar,Small,Gel,115,3450
390,15,Quitzon PLC,Upscale,Major,Dry,436,17440
391,15,Quitzon PLC,Upscale,Major,Shampoo,276,13800
392,15,Quitzon PLC,Upscale,Major,Conditioner,195,11700
393,15,Ebert-Fay,Suite,Mid,Gel,221,6630
394,15,Ebert-Fay,Suite,Mid,Conditioner,58,3480
395,15,Ebert-Fay,Suite,Mid,Shampoo,91,4550
396,15,"Yundt, Dooley and Green",Importance,Small,Mousse,94,3290
397,15,"Yundt, Dooley and Green",Importance,Small,Dry,76,3040
398,15,"Yundt, Dooley and Green",Importance,Small,Gel,29,870
399,15,"Schmidt, Jacobs and Berge",Retail,Major,Conditioner,181,10860
400,15,"Schmidt, Jacobs and Berge",Retail,Major,Gel,588,17640
401,15,"Schmidt, Jacobs and Berge",Retail,Major,Shampoo,80,4000
402,15,Oberbrunner PLC,Scholar,Mid,Gel,209,6270
403,15,Oberbrunner PLC,Scholar,Mid,Dry,128,5120
404,15,Oberbrunner PLC,Scholar,Mid,Mousse,217,7595
405,16,Roberts-Trantow,Upscale,Small,Conditioner,32,1920
406,16,Roberts-Trantow,Upscale,Small,Mousse,23,805
407,16,Roberts-Trantow,Upscale,Small,Dry,68,2720
408,16,Zulauf-Kilback,Suite,Major,Conditioner,188,11280
409,16,Zulauf-Kilback,Suite,Major,Mousse,132,4620
410,16,Zulauf-Kilback,Suite,Major,Shampoo,265,13250
411,16,"Parisian, Glover and Schumm",Importance,Mid,Conditioner,19,1140
412,16,"Parisian, Glover and Schumm",Importance,Mid,Shampoo,93,4650
413,16,"Parisian, Glover and Schumm",Importance,Mid,Gel,39,1170
